title,genres,prediction
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western,5.566099406234035
Predator (1987),Action|Sci-Fi|Thriller,5.559448943230811
"Godfather: Part II, The (1974)",Crime|Drama,5.514656558510285
Aliens (1986),Action|Adventure|Horror|Sci-Fi,5.5092446948136855
"Godfather, The (1972)",Crime|Drama,5.466608949578094
Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,5.465391263228067
Band of Brothers (2001),Action|Drama|War,5.4485155788046455
Rambo (Rambo 4) (2008),Action|Drama|Thriller|War,5.423443751254777
Heat (1995),Action|Crime|Thriller,5.422579492538387
Die Hard (1988),Action|Crime|Thriller,5.412735748368368
Alien (1979),Horror|Sci-Fi,5.409336585638749
"Thing, The (1982)",Action|Horror|Sci-Fi|Thriller,5.381041453770503
"Terminator, The (1984)",Action|Sci-Fi|Thriller,5.365778531837179
Goodfellas (1990),Crime|Drama,5.345343977572256
Starship Troopers (1997),Action|Sci-Fi,5.34128839103624
Unforgiven (1992),Drama|Western,5.293252181184699
First Blood (Rambo: First Blood) (1982),Action|Adventure|Drama|Thriller,5.2878899487853745
Casino (1995),Crime|Drama,5.285086090682871
"Batman: The Dark Knight Returns, Part 2 (2013)",Action|Animation,5.254572272175302
Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,5.2266499985726
Louis C.K.: Chewed Up (2008),Comedy,5.152831687068361
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,5.152427688510221
Louis C.K.: Shameless (2007),Comedy,5.142780847517326
Full Metal Jacket (1987),Drama|War,5.134237160829851
Scarface (1983),Action|Crime|Drama,5.130967431827289
"Road Warrior, The (Mad Max 2) (1981)",Action|Adventure|Sci-Fi,5.1255090093439275
Warrior (2011),Drama,5.1143958543365855
Shooting Dogs (a.k.a. Beyond the Gates) (2005),Documentary|Drama|War,5.107077814245671
Once Upon a Time in the West (C'era una volta il West) (1968),Action|Drama|Western,5.1066204589270034
Apocalypto (2006),Adventure|Drama|Thriller,5.097957297927296
RoboCop (1987),Action|Crime|Drama|Sci-Fi|Thriller,5.09519521761076
Dirty Harry (1971),Action|Crime|Thriller,5.092290262664727
Ip Man (2008),Action|Drama|War,5.080615147703139
Reservoir Dogs (1992),Crime|Mystery|Thriller,5.076946862649459
"Fistful of Dollars, A (Per un pugno di dollari) (1964)",Action|Western,5.073047623602074
Ricky Gervais Live 3: Fame (2007),Comedy,5.07284297591898
Dawn of the Dead (2004),Action|Drama|Horror|Thriller,5.070746410765093
Apocalypse Now (1979),Action|Drama|War,5.0567541868624675
Dawn of the Dead (1978),Action|Drama|Horror,5.051383831655022
"Outlaw Josey Wales, The (1976)",Action|Adventure|Drama|Thriller|Western,5.045893889806436
For a Few Dollars More (Per qualche dollaro in più) (1965),Action|Drama|Thriller|Western,5.040328046039778
Citizenfour (2014),Documentary,5.033579422027825
Scarface (1932),Crime|Drama,5.021669477972466
I Saw the Devil (Akmareul boatda) (2010),Crime|Thriller,5.013305123989577
John Wick (2014),Action|Thriller,5.013193259523698
Sin City (2005),Action|Crime|Film-Noir|Mystery|Thriller,5.0124436472431615
Ip Man 2 (2010),Action,5.010440677568477
Louis C.K.: Live at the Beacon Theater (2011),Comedy,5.004985515799513
Prisoners (2013),Drama|Mystery|Thriller,4.99791214325028
"Unforgiven, The (1960)",Drama|Western,4.995078724222134
Winter War (Talvisota) (1989),Drama|War,4.993173352248919
"Unknown Soldier, The (Tuntematon sotilas) (1955)",Drama|War,4.988901626942572
Heat (1972),Comedy|Drama|Romance,4.97904840460044
Star Trek Into Darkness (2013),Action|Adventure|Sci-Fi|IMAX,4.96954377856056
"Naked Gun: From the Files of Police Squad!, The (1988)",Action|Comedy|Crime|Romance,4.967212968370415
High Plains Drifter (1973),Western,4.965998695339312
"Mist, The (2007)",Horror|Sci-Fi,4.965573014591997
Conan the Barbarian (1982),Action|Adventure|Fantasy,4.962533388895923
"Bound by Honor (a.k.a. Blood In, Blood Out) (1993)",Action|Crime|Drama|Thriller,4.962217649796053
Seven Samurai (Shichinin no samurai) (1954),Action|Adventure|Drama,4.961333375868646
Star Trek II: The Wrath of Khan (1982),Action|Adventure|Sci-Fi|Thriller,4.95935855218076
"Union: The Business Behind Getting High, The (2007)",Comedy|Documentary,4.954933302646601
Jaws (1975),Action|Horror,4.949245796032797
Elite Squad (Tropa de Elite) (2007),Action|Crime|Drama|Thriller,4.948186542320462
Blackadder Back & Forth (1999),Comedy,4.946985778757332
"Big Boss, The (Fists of Fury) (Tang shan da xiong) (1971)",Action|Thriller,4.945080591208582
Commando (1985),Action|Adventure,4.943072739469352
Rambo: First Blood Part II (1985),Action|Adventure|Thriller,4.9422470923316695
"Wild Bunch, The (1969)",Adventure|Western,4.9374388996020855
Die Hard 2 (1990),Action|Adventure|Thriller,4.932664199321745
Hard-Boiled (Lat sau san taam) (1992),Action|Crime|Drama|Thriller,4.931870881181004
Total Recall (1990),Action|Adventure|Sci-Fi|Thriller,4.931130813480655
Blade Runner (1982),Action|Sci-Fi|Thriller,4.928591904304419
Batman: Under the Red Hood (2010),Action|Animation,4.928109252001413
Rio Bravo (1959),Western,4.924382706208418
"Killer, The (Die xue shuang xiong) (1989)",Action|Crime|Drama|Thriller,4.92371341300543
"Prestige, The (2006)",Drama|Mystery|Sci-Fi|Thriller,4.923318706444984
Eddie Murphy Delirious (1983),Comedy|Documentary,4.922476807924246
Richard Pryor: Live in Concert (1979),Comedy|Documentary,4.919275560785021
Where Eagles Dare (1968),Action|Adventure|War,4.917363114492061
Ravenous (1999),Horror|Thriller,4.914238850583478
From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,4.913892114567091
Platoon (1986),Drama|War,4.910048766704565
Evangelion: 2.0 You Can (Not) Advance (Evangerion shin gekijôban: Ha) (2009),Action|Animation|Drama|Sci-Fi,4.908361105945429
Fawlty Towers (1975-1979),Comedy,4.905738026889182
Cosmos (1980),Documentary,4.902681181745487
Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro) (2010),Action|Crime|Drama,4.893173751951455
Enter the Dragon (1973),Action|Crime,4.89143160330314
Louis C.K.: Oh My God (2013),Comedy,4.888549254322694
Once Upon a Time in America (1984),Crime|Drama,4.88838527678442
Beyond the Mat (1999),Documentary,4.887235058408274
Old Boy (2003),Mystery|Thriller,4.884247633305446
Inglourious Basterds (2009),Action|Drama|War,4.881051548597172
Frozen Planet (2011),Documentary,4.876608024141844
Magnum Force (1973),Action|Crime|Drama|Thriller,4.8765581038515275
Rocky (1976),Drama,4.876390685895358
"Bourne Identity, The (1988)",Action|Adventure|Drama|Mystery|Thriller,4.864027847763329
Evil Dead II (Dead by Dawn) (1987),Action|Comedy|Fantasy|Horror,4.863115751265012
Night of the Living Dead (1968),Horror|Sci-Fi|Thriller,4.861918630801741
"Shining, The (1980)",Horror,4.856529712507536
Ronin (1998),Action|Crime|Thriller,4.856042316864002
In the Mouth of Madness (1995),Horror|Thriller,4.854033866980554
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,4.852930783459172
Star Trek VI: The Undiscovered Country (1991),Action|Mystery|Sci-Fi,4.850465325601506
Foo Fighters: Back and Forth (2011),Documentary|Musical,4.8486952259106495
Taxi Driver (1976),Crime|Drama|Thriller,4.841603370922016
The Raid: Redemption (2011),Action|Crime,4.840220789222377
"Shootist, The (1976)",Drama|Western,4.838860494957253
Black Mirror (2011),Drama|Sci-Fi,4.838662313282277
Blade (1998),Action|Horror|Thriller,4.836857001758201
Falling Down (1993),Action|Drama,4.836065382618369
Ninja Scroll (Jûbei ninpûchô) (1995),Action|Adventure|Animation|Fantasy,4.834237282115524
"Boot, Das (Boat, The) (1981)",Action|Drama|War,4.831112181750395
Babylon 5,Sci-Fi,4.823999658048467
"Big Red One, The (1980)",Action|Adventure|Drama|War,4.821113437913413
Memories of Murder (Salinui chueok) (2003),Crime|Drama|Mystery|Thriller,4.8208223530338445
From the Earth to the Moon (1998),Action|Documentary|Drama|Thriller,4.819276231168943
Fury (2014),Action|Drama|War,4.817314235398296
"Chaser, The (Chugyeogja) (2008)",Crime|Drama|Thriller,4.817255470260771
"Man from Nowhere, The (Ajeossi) (2010)",Action|Crime|Thriller,4.816091922312653
Blade II (2002),Action|Horror|Thriller,4.813968282357389
Pandorum (2009),Horror|Sci-Fi|Thriller,4.812031799635663
Pitch Black (2000),Horror|Sci-Fi|Thriller,4.8104234094805225
"Power of Nightmares, The: The Rise of the Politics of Fear (2004)",Documentary,4.8076609508343395
"Protector, The (a.k.a. Warrior King) (Tom yum goong) (2005)",Action|Comedy|Crime|Thriller,4.805870131206014
"Damned United, The (2009)",Drama,4.804685580387293
13 Assassins (Jûsan-nin no shikaku) (2010),Action,4.804668698605709
Sunshine (2007),Adventure|Drama|Sci-Fi|Thriller,4.801424441197058
They Call Me Trinity (1971),Comedy|Western,4.801023129989928
Snatch (2000),Comedy|Crime|Thriller,4.799501106101724
Frailty (2001),Crime|Drama|Thriller,4.7967095088275755
Escape from Alcatraz (1979),Drama|Thriller,4.796653882977195
Donnie Brasco (1997),Crime|Drama,4.79616903711279
"Exorcist, The (1973)",Horror|Mystery,4.794932942381131
