title,genres,predicted_rating
Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy,4.870126845
Inglourious Basterds (2009),Action|Drama|War,4.721924299
Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller,4.65856157
Source Code (2011),Action|Drama|Mystery|Sci-Fi|Thriller,4.447422666
X2: X-Men United (2003),Action|Adventure|Sci-Fi|Thriller,4.336783618
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy,4.000043604
Forrest Gump (1994),Comedy|Drama|Romance|War,3.98437671
"Prestige, The (2006)",Drama|Mystery|Sci-Fi|Thriller,3.785633038
Black Swan (2010),Drama|Thriller,3.746213466
Star Trek Into Darkness (2013),Action|Adventure|Sci-Fi|IMAX,3.580212771
Gran Torino (2008),Crime|Drama,3.515801581
Scott Pilgrim vs. the World (2010),Action|Comedy|Fantasy|Musical|Romance,3.327354592
Shrek 2 (2004),Adventure|Animation|Children|Comedy|Musical|Romance,3.187574765
Austin Powers: International Man of Mystery (1997),Action|Adventure|Comedy,3.125090244
"Usual Suspects, The (1995)",Crime|Mystery|Thriller,3.102624395
Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),Action|Comedy|Sci-Fi,3.09221957
Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi,3.086063539
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",Adventure|Children|Fantasy,2.964585647
War of the Worlds (2005),Action|Adventure|Sci-Fi|Thriller,2.95715872
"Da Vinci Code, The (2006)",Drama|Mystery|Thriller,2.899997377
"Island, The (2005)",Action|Sci-Fi|Thriller,2.872582962
Equilibrium (2002),Action|Sci-Fi|Thriller,2.845301147
Terminator 3: Rise of the Machines (2003),Action|Adventure|Sci-Fi,2.815437607
"Crazy, Stupid, Love. (2011)",Comedy|Drama|Romance,2.750996195
Anchorman: The Legend of Ron Burgundy (2004),Comedy,2.745077936
Lord of War (2005),Action|Crime|Drama|Thriller|War,2.696483905
"Rock, The (1996)",Action|Adventure|Thriller,2.690639067
Kill Bill: Vol. 2 (2004),Action|Drama|Thriller,2.682190253
Up in the Air (2009),Drama|Romance,2.661522465
Armageddon (1998),Action|Romance|Sci-Fi|Thriller,2.653357825
"Grand Budapest Hotel, The (2014)",Comedy|Drama,2.649157979
"Fighter, The (2010)",Drama,2.649019693
50/50 (2011),Comedy|Drama,2.635328271
American Pie 2 (2001),Comedy,2.613212458
Red (2010),Action|Comedy,2.605794498
"Girl with the Dragon Tattoo, The (Män som hatar kvinnor) (2009)",Crime|Drama|Mystery|Thriller,2.602885496
American Gangster (2007),Crime|Drama|Thriller,2.557010488
There's Something About Mary (1998),Comedy|Romance,2.549768876
Band of Brothers (2001),Action|Drama|War,2.498230665
Her (2013),Drama|Romance|Sci-Fi,2.477970093
Serenity (2005),Action|Adventure|Sci-Fi,2.467844975
Déjà Vu (Deja Vu) (2006),Action|Sci-Fi|Thriller,2.457245987
Cloud Atlas (2012),Drama|Sci-Fi|IMAX,2.433339816
Intouchables (2011),Comedy|Drama,2.423458794
Austin Powers in Goldmember (2002),Comedy,2.398231336
Hot Fuzz (2007),Action|Comedy|Crime|Mystery,2.38770974
